Title,Place Name,Latitude,Longitude,Location,Dusun,Kecamatan,Kota/Kabupaten,Province,Provinsi,Phone Number,URL,Commodity,Bulan Panen,Panen Months 
MANTEGA COFFEE FARM AND CAMP,MANTEGA COFFEE FARM AND CAMP,-3.4998125,119.8174375,"GR28+3X, Tokkonan, Enrekang, Enrekang Regency, South Sulawesi 91711, Indonesia",Tokkonan,Enrekang,Kabupaten Enrekang,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/MANTEGA+COFFEE+FARM+AND+CAMP/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x2d94151baf68d10f:0xe4fc51129fc77291!8m2!3d-3.4998125!4d119.8174375!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11s1pz9l60?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Kobong Kopi ARABIKA PANGGI,Kobong Kopi ARABIKA PANGGI,1.3156875,124.8537656,"8V83+7GC, Matani Satu, Tomohon Tengah, Tomohon City, North Sulawesi, Indonesia",Matani Satu,Tomohon Tengah,Kota Tomohon,North Sulawesi,Sulawesi Utara,+62 812-4675-3297,"https://www.google.com/maps/place/Kobong+Kopi+ARABIKA+PANGGI/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x32876d729ceb016d:0x25ac312539ae4b71!8m2!3d1.3156866!4d124.8537612!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11m21w_kgt?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Kebun kopi Papa tety,Kebun kopi Papa tety,-3.0033625,119.3247031,"X8WF+MV4, West Balla, Balla, Mamasa Regency, West Sulawesi 91366, Indonesia",West Balla,Balla,Kabupaten Mamasa,West Sulawesi,Sulawesi Barat,,"https://www.google.com/maps/place/Kebun+kopi+Papa+tety/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x2d93737d36a59fff:0xf80e82cac55037b3!8m2!3d-3.0039485!4d119.3239193!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11v41f1t13?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Perkebunan Kopi Robusta Liberia,Perkebunan Kopi Robusta Liberia,0.7371125,124.4081406,"PCP5+R7R, East Liberia, Modayag, East Bolaang Mongondow Regency, North Sulawesi, Indonesia",East Liberia,Modayag,Kabupaten Bolaang Mongondow Timur,North Sulawesi,Sulawesi Utara,,"https://www.google.com/maps/place/Perkebunan+Kopi+Robusta+Liberia/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x327e239630d23edb:0x8e795c3e8efc8be1!8m2!3d0.737108!4d124.4081376!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11qp05n2l9?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Kopi Api Coffee Roasters,Kopi Api Coffee Roasters,-2.5227625,121.3584844,"F9G5+V9X, Nekkel, Nuha, East Luwu Regency, South Sulawesi 92983, Indonesia",Nekkel,Nuha,Kabupaten Luwu Timur,South Sulawesi,Sulawesi Selatan,+62 822-9395-9877,"https://www.google.com/maps/place/Kopi+Api+Coffee+Roasters/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x2d9065e141db1c91:0xe457b195c8a88c3c!8m2!3d-2.5227526!4d121.3584964!15sChJrb3BpIGZhcm0gc3VsYXdlc2laFCISa29waSBmYXJtIHN1bGF3ZXNpkgEEY2FmZeABAA!16s%2Fg%2F11g6jq98tp?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Kebun Kopi Toraja - ToRi Coffee,Kebun Kopi Toraja - ToRi Coffee,-3.1533125,119.9136875,"RWW7+MF, Lemo, Mengkendek, Tana Toraja Regency, South Sulawesi, Indonesia",Lemo,Mengkendek,Kabupaten Tana Toraja,South Sulawesi,Sulawesi Selatan,+62 821-9407-8751,"https://www.google.com/maps/place/Kebun+Kopi+Toraja+-+ToRi+Coffee/@-4.726023,113.760057,6z/data=!4m7!3m6!1s0x2d93f10019951bd3:0x4f5d02ff4e92a580!8m2!3d-3.1534895!4d119.9136324!15sChNrZWJ1biBrb3BpIHN1bGF3ZXNpWhUiE2tlYnVuIGtvcGkgc3VsYXdlc2mSAQl0cmVlX2Zhcm2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlVaemhmWjFaUkVBReABAA!16s%2Fg%2F11vt83v83h?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Kopi Koya,Kopi Koya,1.2904375,124.8948594,"7VRV+5WH, Koya, Tondano Selatan, Minahasa Regency, North Sulawesi, Indonesia",Koya,Tondano Selatan,Kabupaten Minahasa,North Sulawesi,Sulawesi Utara,+62 896-0269-4672,"https://www.google.com/maps/place/Kopi+Koya/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x328715126e5ecec9:0x8e7968b89cbc46ad!8m2!3d1.2904311!4d124.8948697!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11qt05stln?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Perkebunan Kopi Tolutug,Perkebunan Kopi Tolutug,0.7504375,124.3064844,"Q824+5HH, Gogagoman, Kotamobagu Barat, Kotamobagu City, North Sulawesi, Indonesia",Gogagoman,Kotamobagu Barat,Kota Kotamobagu,North Sulawesi,Sulawesi Utara,,"https://www.google.com/maps/place/Perkebunan+Kopi+Tolutug/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x327e174b4b5b81d1:0x2ee958072b11edd3!8m2!3d0.7504452!4d124.3064963!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11q8wgm6bw?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
KANDANG KOPI FARM,KANDANG KOPI FARM,-4.1865875,121.8875781,"RV7Q+928, Poli-Polia, East Kolaka Regency, South East Sulawesi 93573, Indonesia",,Poli-Polia,Kabupaten Kolaka Timur,Southeast Sulawesi,Sulawesi Tenggara,+62 822-6119-2114,"https://www.google.com/maps/place/KANDANG+KOPI+FARM/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x2d980f89858e2ffd:0xe2a3e58a05c4adff!8m2!3d-4.1865835!4d121.8875679!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQxwb3VsdHJ5X2Zhcm3gAQA!16s%2Fg%2F11ssk4gd0v?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Perkebunan Kopi Batui Oishi,Perkebunan Kopi Batui Oishi,-1.3161875,122.5043125,"MGM3+GP, Kayowa, Batui, Banggai Regency, Central Sulawesi, Indonesia",Kayowa,Batui,Kabupaten Banggai,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Perkebunan+Kopi+Batui+Oishi/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x2d8449c2c888cae3:0xc9f24d8cb2850022!8m2!3d-1.316181!4d122.504355!15sChJrb3BpIGZhcm0gc3VsYXdlc2laFCISa29waSBmYXJtIHN1bGF3ZXNpkgEHb3JjaGFyZJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeE9VeGZSREozUlJBQuABAA!16s%2Fg%2F11trrhjcd7?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
